Spatial Frequency(Hz),Modulation(0-1),System time since start (milliseconds),Target Position(pixels),Cursor Position(pixels),Error(pixels),x-axis gain
1.0,1.0,3,588,320,268.0,4.0,
1.0,1.0,36,593,320,273.0,4.0,
1.0,1.0,67,597,320,277.0,4.0,
1.0,1.0,99,600,320,280.0,4.0,
1.0,1.0,132,603,320,283.0,4.0,
1.0,1.0,165,605,320,285.0,4.0,
1.0,1.0,198,606,320,286.0,4.0,
1.0,1.0,232,608,320,288.0,4.0,
1.0,1.0,265,610,320,290.0,4.0,
1.0,1.0,299,612,320,292.0,4.0,
1.0,1.0,332,615,320,295.0,4.0,
1.0,1.0,365,618,320,298.0,4.0,
1.0,1.0,399,621,320,301.0,4.0,
1.0,1.0,432,626,320,306.0,4.0,
1.0,1.0,466,632,320,312.0,4.0,
1.0,1.0,499,639,320,319.0,4.0,
1.0,1.0,532,646,320,326.0,4.0,
1.0,1.0,566,652,320,332.0,4.0,
1.0,1.0,599,655,320,335.0,4.0,
1.0,1.0,633,656,320,336.0,4.0,
1.0,1.0,666,655,320,335.0,4.0,
1.0,1.0,700,652,320,332.0,4.0,
1.0,1.0,733,648,320,328.0,4.0,
1.0,1.0,767,642,320,322.0,4.0,
1.0,1.0,800,636,320,316.0,4.0,
1.0,1.0,833,629,320,309.0,4.0,
1.0,1.0,867,623,320,303.0,4.0,
1.0,1.0,900,616,320,296.0,4.0,
1.0,1.0,931,610,320,290.0,4.0,
1.0,1.0,961,605,320,285.0,4.0,
1.0,1.0,993,599,320,279.0,4.0,
1.0,1.0,1024,592,320,272.0,4.0,
1.0,1.0,1056,585,320,265.0,4.0,
1.0,1.0,1087,579,320,259.0,4.0,
1.0,1.0,1122,574,320,254.0,4.0,
1.0,1.0,1154,570,320,250.0,4.0,
1.0,1.0,1187,567,320,247.0,4.0,
1.0,1.0,1222,566,320,246.0,4.0,
1.0,1.0,1255,565,320,245.0,4.0,
1.0,1.0,1287,565,320,245.0,4.0,
1.0,1.0,1318,565,320,245.0,4.0,
1.0,1.0,1351,568,320,248.0,4.0,
1.0,1.0,1385,572,320,252.0,4.0,
1.0,1.0,1418,579,320,259.0,4.0,
1.0,1.0,1452,587,320,267.0,4.0,
1.0,1.0,1485,597,320,277.0,4.0,
1.0,1.0,1518,609,320,289.0,4.0,
1.0,1.0,1552,623,320,303.0,4.0,
1.0,1.0,1585,637,320,317.0,4.0,
1.0,1.0,1620,651,320,331.0,4.0,
1.0,1.0,1652,664,320,344.0,4.0,
1.0,1.0,1686,674,320,354.0,4.0,
1.0,1.0,1719,681,320,361.0,4.0,
1.0,1.0,1754,685,320,365.0,4.0,
1.0,1.0,1786,688,320,368.0,4.0,
1.0,1.0,1819,689,320,369.0,4.0,
1.0,1.0,1853,688,320,368.0,4.0,
1.0,1.0,1886,686,320,366.0,4.0,
1.0,1.0,1919,683,320,363.0,4.0,
1.0,1.0,1953,680,320,360.0,4.0,
1.0,1.0,1986,675,320,355.0,4.0,
1.0,1.0,2020,672,320,352.0,4.0,
1.0,1.0,2053,668,320,348.0,4.0,
1.0,1.0,2087,665,320,345.0,4.0,
1.0,1.0,2118,663,320,343.0,4.0,
1.0,1.0,2149,661,320,341.0,4.0,
1.0,1.0,2181,661,320,341.0,4.0,
1.0,1.0,2215,663,320,343.0,4.0,
1.0,1.0,2246,665,320,345.0,4.0,
1.0,1.0,2278,668,320,348.0,4.0,
1.0,1.0,2311,671,320,351.0,4.0,
1.0,1.0,2343,673,320,353.0,4.0,
1.0,1.0,2377,674,320,354.0,4.0,
1.0,1.0,2409,674,320,354.0,4.0,
1.0,1.0,2442,674,320,354.0,4.0,
1.0,1.0,2477,674,320,354.0,4.0,
1.0,1.0,2510,676,320,356.0,4.0,
1.0,1.0,2543,677,320,357.0,4.0,
1.0,1.0,2576,679,320,359.0,4.0,
1.0,1.0,2610,682,320,362.0,4.0,
1.0,1.0,2642,685,320,365.0,4.0,
1.0,1.0,2676,687,320,367.0,4.0,
1.0,1.0,2711,689,320,369.0,4.0,
1.0,1.0,2742,690,320,370.0,4.0,
1.0,1.0,2773,689,320,369.0,4.0,
1.0,1.0,2806,686,320,366.0,4.0,
1.0,1.0,2838,682,320,362.0,4.0,
1.0,1.0,2872,677,320,357.0,4.0,
1.0,1.0,2906,672,320,352.0,4.0,
1.0,1.0,2939,666,320,346.0,4.0,
1.0,1.0,2972,659,320,339.0,4.0,
1.0,1.0,3006,652,320,332.0,4.0,
1.0,1.0,3040,643,320,323.0,4.0,
1.0,1.0,3073,635,320,315.0,4.0,
1.0,1.0,3106,628,320,308.0,4.0,
1.0,1.0,3139,621,320,301.0,4.0,
1.0,1.0,3173,615,320,295.0,4.0,
1.0,1.0,3206,611,320,291.0,4.0,
1.0,1.0,3241,607,320,287.0,4.0,
1.0,1.0,3273,605,320,285.0,4.0,
1.0,1.0,3306,603,320,283.0,4.0,
1.0,1.0,3340,602,320,282.0,4.0,
1.0,1.0,3373,599,320,279.0,4.0,
1.0,1.0,3407,595,320,275.0,4.0,
1.0,1.0,3440,588,320,268.0,4.0,
1.0,1.0,3474,579,320,259.0,4.0,
1.0,1.0,3507,568,320,248.0,4.0,
1.0,1.0,3540,557,320,237.0,4.0,
1.0,1.0,3574,546,320,226.0,4.0,
1.0,1.0,3607,535,320,215.0,4.0,
1.0,1.0,3642,525,320,205.0,4.0,
1.0,1.0,3674,515,320,195.0,4.0,
1.0,1.0,3708,506,320,186.0,4.0,
1.0,1.0,3738,499,320,179.0,4.0,
1.0,1.0,3773,493,320,173.0,4.0,
1.0,1.0,3807,489,320,169.0,4.0,
1.0,1.0,3841,487,320,167.0,4.0,
1.0,1.0,3871,487,320,167.0,4.0,
1.0,1.0,3905,489,320,169.0,4.0,
1.0,1.0,3937,493,320,173.0,4.0,
1.0,1.0,3972,499,320,179.0,4.0,
1.0,1.0,4002,508,320,188.0,4.0,
1.0,1.0,4035,517,320,197.0,4.0,
1.0,1.0,4067,528,320,208.0,4.0,
1.0,1.0,4099,538,320,218.0,4.0,
1.0,1.0,4131,548,320,228.0,4.0,
1.0,1.0,4164,558,320,238.0,4.0,
1.0,1.0,4197,570,320,250.0,4.0,
1.0,1.0,4230,582,320,262.0,4.0,
1.0,1.0,4262,596,320,276.0,4.0,
1.0,1.0,4296,611,320,291.0,4.0,
1.0,1.0,4327,626,320,306.0,4.0,
1.0,1.0,4359,640,320,320.0,4.0,
1.0,1.0,4393,654,320,334.0,4.0,
1.0,1.0,4426,666,320,346.0,4.0,
1.0,1.0,4460,676,320,356.0,4.0,
1.0,1.0,4494,684,320,364.0,4.0,
1.0,1.0,4526,688,320,368.0,4.0,
1.0,1.0,4560,690,320,370.0,4.0,
1.0,1.0,4593,689,320,369.0,4.0,
1.0,1.0,4627,687,320,367.0,4.0,
1.0,1.0,4660,683,320,363.0,4.0,
1.0,1.0,4694,679,320,359.0,4.0,
1.0,1.0,4727,674,320,354.0,4.0,
1.0,1.0,4760,668,320,348.0,4.0,
1.0,1.0,4794,662,320,342.0,4.0,
1.0,1.0,4827,655,320,335.0,4.0,
1.0,1.0,4861,650,320,330.0,4.0,
1.0,1.0,4894,647,320,327.0,4.0,
1.0,1.0,4928,645,320,325.0,4.0,
1.0,1.0,4962,646,320,326.0,4.0,
1.0,1.0,4994,647,320,327.0,4.0,
1.0,1.0,5028,650,320,330.0,4.0,
1.0,1.0,5062,654,320,334.0,4.0,
1.0,1.0,5095,658,320,338.0,4.0,
1.0,1.0,5128,661,320,341.0,4.0,
1.0,1.0,5161,664,320,344.0,4.0,
1.0,1.0,5195,664,320,344.0,4.0,
1.0,1.0,5228,663,320,343.0,4.0,
1.0,1.0,5262,661,320,341.0,4.0,
1.0,1.0,5295,659,320,339.0,4.0,
1.0,1.0,5329,658,320,338.0,4.0,
1.0,1.0,5362,657,320,337.0,4.0,
1.0,1.0,5396,656,320,336.0,4.0,
1.0,1.0,5429,656,320,336.0,4.0,
1.0,1.0,5462,655,320,335.0,4.0,
1.0,1.0,5496,655,320,335.0,4.0,
1.0,1.0,5529,654,320,334.0,4.0,
1.0,1.0,5563,654,320,334.0,4.0,
1.0,1.0,5596,653,320,333.0,4.0,
1.0,1.0,5629,653,320,333.0,4.0,
1.0,1.0,5663,652,320,332.0,4.0,
1.0,1.0,5696,651,320,331.0,4.0,
1.0,1.0,5730,650,320,330.0,4.0,
1.0,1.0,5763,650,320,330.0,4.0,
1.0,1.0,5797,649,320,329.0,4.0,
1.0,1.0,5830,648,320,328.0,4.0,
1.0,1.0,5863,1895,320,1575.0,4.0,
1.0,1.0,5897,1892,320,1572.0,4.0,
1.0,1.0,5931,1890,320,1570.0,4.0,
1.0,1.0,5964,1888,320,1568.0,4.0,
1.0,1.0,5997,1889,320,1569.0,4.0,
1.0,1.0,6030,1890,320,1570.0,4.0,
1.0,1.0,6064,1893,320,1573.0,4.0,
1.0,1.0,6099,1896,320,1576.0,4.0,
1.0,1.0,6131,1898,320,1578.0,4.0,
1.0,1.0,6164,1900,320,1580.0,4.0,
1.0,1.0,6198,1901,320,1581.0,4.0,
1.0,1.0,6231,1900,320,1580.0,4.0,
1.0,1.0,6264,1896,320,1576.0,4.0,
1.0,1.0,6298,1892,320,1572.0,4.0,
1.0,1.0,6331,1885,320,1565.0,4.0,
1.0,1.0,6365,1877,320,1557.0,4.0,
1.0,1.0,6398,1870,320,1550.0,4.0,
1.0,1.0,6432,1863,320,1543.0,4.0,
1.0,1.0,6465,1856,320,1536.0,4.0,
1.0,1.0,6501,1851,320,1531.0,4.0,
1.0,1.0,6534,1846,320,1526.0,4.0,
1.0,1.0,6566,1842,320,1522.0,4.0,
1.0,1.0,6599,1839,320,1519.0,4.0,
1.0,1.0,6632,1839,320,1519.0,4.0,
1.0,1.0,6666,1841,320,1521.0,4.0,
1.0,1.0,6699,1846,320,1526.0,4.0,
1.0,1.0,6732,1852,320,1532.0,4.0,
1.0,1.0,6767,1860,320,1540.0,4.0,
1.0,1.0,6799,1869,320,1549.0,4.0,
1.0,1.0,6833,1878,320,1558.0,4.0,
1.0,1.0,6868,1886,320,1566.0,4.0,
1.0,1.0,6900,1894,320,1574.0,4.0,
1.0,1.0,6933,1900,320,1580.0,4.0,
1.0,1.0,6966,1904,320,1584.0,4.0,
1.0,1.0,7000,1907,320,1587.0,4.0,
1.0,1.0,7033,1908,320,1588.0,4.0,
1.0,1.0,7064,1908,320,1588.0,4.0,
1.0,1.0,7097,1909,320,1589.0,4.0,
1.0,1.0,7130,1910,320,1590.0,4.0,
1.0,1.0,7163,1909,320,1589.0,4.0,
1.0,1.0,7195,1907,320,1587.0,4.0,
1.0,1.0,7229,1904,320,1584.0,4.0,
1.0,1.0,7262,1898,320,1578.0,4.0,
1.0,1.0,7293,1892,320,1572.0,4.0,
1.0,1.0,7324,1883,320,1563.0,4.0,
1.0,1.0,7359,1873,320,1553.0,4.0,
1.0,1.0,7391,1863,320,1543.0,4.0,
1.0,1.0,7422,1851,320,1531.0,4.0,
1.0,1.0,7453,1838,320,1518.0,4.0,
1.0,1.0,7485,1826,320,1506.0,4.0,
1.0,1.0,7518,1813,320,1493.0,4.0,
1.0,1.0,7551,1802,320,1482.0,4.0,
1.0,1.0,7585,1790,320,1470.0,4.0,
1.0,1.0,7618,1780,320,1460.0,4.0,
1.0,1.0,7652,1770,320,1450.0,4.0,
1.0,1.0,7685,1763,320,1443.0,4.0,
1.0,1.0,7718,1758,320,1438.0,4.0,
1.0,1.0,7752,1757,320,1437.0,4.0,
1.0,1.0,7785,1759,320,1439.0,4.0,
1.0,1.0,7820,1763,320,1443.0,4.0,
1.0,1.0,7853,1769,320,1449.0,4.0,
1.0,1.0,7888,1775,320,1455.0,4.0,
1.0,1.0,7919,1781,320,1461.0,4.0,
1.0,1.0,7952,1788,320,1468.0,4.0,
1.0,1.0,7986,1793,320,1473.0,4.0,
1.0,1.0,8019,1798,320,1478.0,4.0,
1.0,1.0,8053,1801,320,1481.0,4.0,
1.0,1.0,8086,1804,320,1484.0,4.0,
1.0,1.0,8119,1807,320,1487.0,4.0,
1.0,1.0,8153,1810,320,1490.0,4.0,
1.0,1.0,8187,1815,320,1495.0,4.0,
1.0,1.0,8220,1820,320,1500.0,4.0,
1.0,1.0,8253,1826,320,1506.0,4.0,
1.0,1.0,8287,1832,320,1512.0,4.0,
1.0,1.0,8320,1838,320,1518.0,4.0,
1.0,1.0,8353,1845,320,1525.0,4.0,
1.0,1.0,8387,1853,320,1533.0,4.0,
1.0,1.0,8420,1862,320,1542.0,4.0,
1.0,1.0,8454,1873,320,1553.0,4.0,
1.0,1.0,8487,1884,320,1564.0,4.0,
1.0,1.0,8521,1895,320,1575.0,4.0,
1.0,1.0,8554,1906,320,1586.0,4.0,
1.0,1.0,8587,1915,320,1595.0,4.0,
1.0,1.0,8621,1924,320,1604.0,4.0,
1.0,1.0,8654,1932,320,1612.0,4.0,
1.0,1.0,8688,1938,320,1618.0,4.0,
1.0,1.0,8721,1943,320,1623.0,4.0,
1.0,1.0,8755,1946,320,1626.0,4.0,
1.0,1.0,8788,1949,320,1629.0,4.0,
1.0,1.0,8821,1953,320,1633.0,4.0,
1.0,1.0,8855,1957,320,1637.0,4.0,
1.0,1.0,8890,1961,320,1641.0,4.0,
1.0,1.0,8922,1965,320,1645.0,4.0,
1.0,1.0,8955,1967,320,1647.0,4.0,
1.0,1.0,8989,1968,320,1648.0,4.0,
1.0,1.0,9022,1967,320,1647.0,4.0,
1.0,1.0,9055,1964,320,1644.0,4.0,
1.0,1.0,9089,1960,320,1640.0,4.0,
1.0,1.0,9122,1955,320,1635.0,4.0,
1.0,1.0,9156,1949,320,1629.0,4.0,
1.0,1.0,9189,1942,320,1622.0,4.0,
1.0,1.0,9223,1935,320,1615.0,4.0,
1.0,1.0,9257,1928,320,1608.0,4.0,
1.0,1.0,9291,1922,320,1602.0,4.0,
1.0,1.0,9324,1916,320,1596.0,4.0,
1.0,1.0,9357,1911,320,1591.0,4.0,
1.0,1.0,9390,1908,320,1588.0,4.0,
1.0,1.0,9423,1906,320,1586.0,4.0,
1.0,1.0,9456,1905,320,1585.0,4.0,
1.0,1.0,9490,1906,320,1586.0,4.0,
1.0,1.0,9523,1911,320,1591.0,4.0,
1.0,1.0,9558,1917,320,1597.0,4.0,
1.0,1.0,9590,1924,320,1604.0,4.0,
1.0,1.0,9623,1931,320,1611.0,4.0,
1.0,1.0,9657,1936,320,1616.0,4.0,
1.0,1.0,9690,1940,320,1620.0,4.0,
1.0,1.0,9724,1941,320,1621.0,4.0,
1.0,1.0,9757,1941,320,1621.0,4.0,
1.0,1.0,9791,1938,320,1618.0,4.0,
1.0,1.0,9824,1933,320,1613.0,4.0,
1.0,1.0,9857,1926,320,1606.0,4.0,
1.0,1.0,9891,1918,320,1598.0,4.0,
1.0,1.0,9924,1910,320,1590.0,4.0,
1.0,1.0,9958,1901,320,1581.0,4.0,
1.0,1.0,9991,1892,320,1572.0,4.0,
1.0,1.0,10025,1883,320,1563.0,4.0,
1.0,1.0,10059,1872,320,1552.0,4.0,
1.0,1.0,10092,1862,320,1542.0,4.0,
1.0,1.0,10125,1850,320,1530.0,4.0,
1.0,1.0,10158,1840,320,1520.0,4.0,
1.0,1.0,10192,1830,320,1510.0,4.0,
1.0,1.0,10225,1821,320,1501.0,4.0,
1.0,1.0,10259,1814,320,1494.0,4.0,
1.0,1.0,10292,1806,320,1486.0,4.0,
1.0,1.0,10325,1799,320,1479.0,4.0,
1.0,1.0,10359,1793,320,1473.0,4.0,
1.0,1.0,10391,1787,320,1467.0,4.0,
1.0,1.0,10422,1783,320,1463.0,4.0,
1.0,1.0,10456,1779,320,1459.0,4.0,
1.0,1.0,10487,1777,320,1457.0,4.0,
1.0,1.0,10518,1777,320,1457.0,4.0,
1.0,1.0,10551,1779,320,1459.0,4.0,
1.0,1.0,10586,1783,320,1463.0,4.0,
1.0,1.0,10619,1790,320,1470.0,4.0,
1.0,1.0,10651,1799,320,1479.0,4.0,
1.0,1.0,10682,1808,320,1488.0,4.0,
1.0,1.0,10712,1818,320,1498.0,4.0,
1.0,1.0,10743,1826,320,1506.0,4.0,
1.0,1.0,10777,1833,320,1513.0,4.0,
1.0,1.0,10810,1838,320,1518.0,4.0,
1.0,1.0,10844,1843,320,1523.0,4.0,
1.0,1.0,10877,1847,320,1527.0,4.0,
1.0,1.0,10910,1850,320,1530.0,4.0,
1.0,1.0,10944,1852,320,1532.0,4.0,
1.0,1.0,10977,1854,320,1534.0,4.0,
1.0,1.0,11011,1855,320,1535.0,4.0,
1.0,1.0,11044,1857,320,1537.0,4.0,
1.0,1.0,11078,1859,320,1539.0,4.0,
1.0,1.0,11111,1862,320,1542.0,4.0,
1.0,1.0,11144,1864,320,1544.0,4.0,
1.0,1.0,11178,1867,320,1547.0,4.0,
1.0,1.0,11211,1871,320,1551.0,4.0,
1.0,1.0,11246,1876,320,1556.0,4.0,
1.0,1.0,11278,1882,320,1562.0,4.0,
1.0,1.0,11311,1889,320,1569.0,4.0,
1.0,1.0,11345,1896,320,1576.0,4.0,
1.0,1.0,11378,1901,320,1581.0,4.0,
1.0,1.0,11413,1905,320,1585.0,4.0,
1.0,1.0,11445,1905,320,1585.0,4.0,
1.0,1.0,11479,1904,320,1584.0,4.0,
1.0,1.0,11512,1901,320,1581.0,4.0,
1.0,1.0,11545,1896,320,1576.0,4.0,
1.0,1.0,11579,1890,320,1570.0,4.0,
1.0,1.0,11612,1884,320,1564.0,4.0,
1.0,1.0,11646,1877,320,1557.0,4.0,
1.0,1.0,11679,1870,320,1550.0,4.0,
1.0,1.0,11712,1864,320,1544.0,4.0,
1.0,1.0,11746,1858,320,1538.0,4.0,
1.0,1.0,11781,1853,320,1533.0,4.0,
1.0,1.0,11813,1846,320,1526.0,4.0,
1.0,1.0,11846,1840,320,1520.0,4.0,
1.0,1.0,11880,1833,320,1513.0,4.0,
1.0,1.0,11913,1827,320,1507.0,4.0,
1.0,1.0,11946,1822,320,1502.0,4.0,
1.0,1.0,11980,1819,320,1499.0,4.0,
1.0,1.0,12013,1816,320,1496.0,4.0,
1.0,1.0,12047,1815,320,1495.0,4.0,
1.0,1.0,12080,1814,320,1494.0,4.0,
1.0,1.0,12114,1814,320,1494.0,4.0,
1.0,1.0,12147,1815,320,1495.0,4.0,
1.0,1.0,12181,1818,320,1498.0,4.0,
1.0,1.0,12214,1822,320,1502.0,4.0,
1.0,1.0,12247,1829,320,1509.0,4.0,
1.0,1.0,12282,1837,320,1517.0,4.0,
1.0,1.0,12317,1848,320,1528.0,4.0,
1.0,1.0,12348,1860,320,1540.0,4.0,
1.0,1.0,12381,1874,320,1554.0,4.0,
1.0,1.0,12414,1889,320,1569.0,4.0,
1.0,1.0,12448,1903,320,1583.0,4.0,
1.0,1.0,12481,1915,320,1595.0,4.0,
1.0,1.0,12515,1924,320,1604.0,4.0,
1.0,1.0,12548,1931,320,1611.0,4.0,
1.0,1.0,12582,1935,320,1615.0,4.0,
1.0,1.0,12615,1937,320,1617.0,4.0,
1.0,1.0,12648,1938,320,1618.0,4.0,
1.0,1.0,12682,1937,320,1617.0,4.0,
1.0,1.0,12715,1935,320,1615.0,4.0,
1.0,1.0,12749,1932,320,1612.0,4.0,
1.0,1.0,12782,1928,320,1608.0,4.0,
1.0,1.0,12815,1924,320,1604.0,4.0,
1.0,1.0,12850,1920,320,1600.0,4.0,
1.0,1.0,12882,1917,320,1597.0,4.0,
1.0,1.0,12916,1914,320,1594.0,4.0,
1.0,1.0,12949,1912,320,1592.0,4.0,
1.0,1.0,12983,1910,320,1590.0,4.0,
1.0,1.0,13016,1910,320,1590.0,4.0,
1.0,1.0,13049,1912,320,1592.0,4.0,
1.0,1.0,13083,1915,320,1595.0,4.0,
1.0,1.0,13116,1918,320,1598.0,4.0,
1.0,1.0,13150,1921,320,1601.0,4.0,
1.0,1.0,13183,1922,320,1602.0,4.0,
1.0,1.0,13217,1923,320,1603.0,4.0,
1.0,1.0,13250,1923,320,1603.0,4.0,
1.0,1.0,13283,1923,320,1603.0,4.0,
1.0,1.0,13317,1924,320,1604.0,4.0,
1.0,1.0,13350,1925,320,1605.0,4.0,
1.0,1.0,13385,1926,320,1606.0,4.0,
1.0,1.0,13417,1928,320,1608.0,4.0,
1.0,1.0,13452,1931,320,1611.0,4.0,
1.0,1.0,13484,1934,320,1614.0,4.0,
1.0,1.0,13517,1937,320,1617.0,4.0,
1.0,1.0,13551,1939,320,1619.0,4.0,
1.0,1.0,13584,1939,320,1619.0,4.0,
1.0,1.0,13618,1937,320,1617.0,4.0,
1.0,1.0,13651,1934,320,1614.0,4.0,
1.0,1.0,13684,1930,320,1610.0,4.0,
1.0,1.0,13719,1925,320,1605.0,4.0,
1.0,1.0,13751,1920,320,1600.0,4.0,
1.0,1.0,13785,1914,320,1594.0,4.0,
1.0,1.0,13818,1907,320,1587.0,4.0,
